"primaryName","birthYear","deathYear","nconst","nconst_short"
Maurice Lagrenée,"1893","1955",nm0481419,nm0481419
Charles Laite,"1883","1937",nm0482016,nm0482016
Alice Lake,"1895","1967",nm0482115,nm0482115
Joaquín Lamasco,\N,\N,nm0482894,nm0482894
Harry Lambart,"1876","1949",nm0483022,nm0483022
Albert Lambert,"1865","1941",nm0483056,nm0483056
C. Lambert,\N,\N,nm0483082,nm0483082
Helfrid Lambert,"1869","1954",nm0483165,nm0483165
Isabel Lamon,"1898","1958",nm0483611,nm0483611
William Lampe,\N,\N,nm0483846,nm0483846
Fritz Lamprecht,"1883","1941",nm0483943,nm0483943
John Lancaster,"1857","1935",nm0484143,nm0484143
Nora Lancaster,"1882","1968",nm0484169,nm0484169
Max Landa,"1873","1933",nm0484395,nm0484395
David Landau,"1879","1935",nm0484439,nm0484439
Adele Lane,"1877","1957",nm0485220,nm0485220
Charles Lane,"1869","1945",nm0485274,nm0485274
Albert Lang,\N,\N,nm0485667,nm0485667
Howard Lang,"1874","1941",nm0485770,nm0485770
Peter Lang,"1859","1932",nm0485880,nm0485880
Phil Lang,"1886","1919",nm0485882,nm0485882
Lillian Langdon,"1860","1943",nm0486041,nm0486041
Gabrielle Lange,\N,\N,nm0486117,nm0486117
Sven Lange,"1862","1930",nm0486197,nm0486197
Ramona Langley,"1893","1983",nm0486542,nm0486542
Frank Lanning,"1872","1945",nm0486967,nm0486967
J. Jiquel Lanoe,"1875","1948",nm0487007,nm0487007
Petr Lopukhin,\N,\N,nm0487484,nm0487484
Edward LaRenz,\N,\N,nm0488092,nm0488092
Dolly Larkin,"1889","1976",nm0488280,nm0488280
George Larkin,"1887","1946",nm0488285,nm0488285
Mariano de Larra,\N,\N,nm0488536,nm0488536
Viggo Larsen,"1880","1957",nm0488932,nm0488932
Uno Larsson,"1893","1961",nm0489293,nm0489293
William Larsson,"1873","1926",nm0489296,nm0489296
Jesse L. Lasky,"1880","1958",nm0489690,nm0489690
William Addison Lathrop,"1864","1925",nm0490163,nm0490163
William B. Laub,"1889","1984",nm0490660,nm0490660
Anna Laughlin,"1883","1937",nm0490843,nm0490843
Max Laurence,"1852","1926",nm0491134,nm0491134
Cor Laurentius,"1897","1963",nm0491303,nm0491303
Margot Laurentius-Jonas,\N,\N,nm0491304,nm0491304
Carl Lauritzen,"1879","1940",nm0491498,nm0491498
Lau Lauritzen,"1878","1938",nm0491503,nm0491503
Heinrich Lautensack,"1881","1919",nm0491585,nm0491585
Henri Lavedan,"1859","1940",nm0491819,nm0491819
Albin Lavén,"1861","1917",nm0492280,nm0492280
Burton Law,"1877","1963",nm0492302,nm0492302
Rodman Law,"1885","1919",nm0492381,nm0492381
Adelaide Lawrence,"1905","1989",nm0492606,nm0492606
Charles Lawrence,"1896","1984",nm0492661,nm0492661
Edmund Lawrence,"1881","1944",nm0492742,nm0492742
Florence Lawrence,"1886","1938",nm0492757,nm0492757
Gerald Lawrence,"1873","1957",nm0492774,nm0492774
Robert Lawrence,\N,\N,nm0492993,nm0492993
W.E. Lawrence,"1896","1947",nm0493073,nm0493073
Charles Le Bargy,"1858","1936",nm0494039,nm0494039
Suzanne Le Bret,"1889","1928",nm0494137,nm0494137
C.F. Le None,\N,\N,nm0494498,nm0494498
Stella Razeto,"1881","1948",nm0494615,nm0494615
Frank Le Strange,\N,\N,nm0494629,nm0494629
H. Alderson Leach,"1878",\N,nm0494826,nm0494826
Carlos Leal,\N,\N,nm0495051,nm0495051
Bessie Learn,"1888","1987",nm0495218,nm0495218
Germaine Lecuyer,"1886","1947",nm0496376,nm0496376
Otto Lederer,"1886","1965",nm0496470,nm0496470
George W. Lederer,"1862","1938",nm0496475,nm0496475
Gretchen Lederer,"1891","1955",nm0496477,nm0496477
Alberta Lee,"1860","1928",nm0496774,nm0496774
Carey Lee,"1884","1930",nm0496941,nm0496941
Charles Lee,"1870","1927",nm0496972,nm0496972
Ethel Lee,\N,\N,nm0497243,nm0497243
Florence Lee,"1888","1962",nm0497265,nm0497265
Jack Lee,\N,\N,nm0497444,nm0497444
Jennie Lee,"1848","1925",nm0497501,nm0497501
Jesse M. Lee,\N,\N,nm0497523,nm0497523
Katherine Lee,"1909","1968",nm0497651,nm0497651
Dorothy Leeds,\N,\N,nm0498579,nm0498579
Enny de Leeuwe,"1898","1982",nm0498797,nm0498797
André Lefaur,"1879","1952",nm0498833,nm0498833
Hélène Lefèbvre,\N,\N,nm0499128,nm0499128
George LeGuere,"1887","1947",nm0499548,nm0499548
Bernhard Lehmann,"1860","1928",nm0499674,nm0499674
John Lehnberg,"1883","1956",nm0499789,nm0499789
Anna Lehr,"1890","1974",nm0499850,nm0499850
Henry Lehrman,"1886","1946",nm0499883,nm0499883
Anne Leigh,\N,\N,nm0500168,nm0500168
Jack Leigh,"1859","1934",nm0500227,nm0500227
Lillian Leighton,"1874","1956",nm0500361,nm0500361
Thyra Leijman-Uppström,"1878","1951",nm0500396,nm0500396
Bernardine R. Leist,\N,\N,nm0500580,nm0500580
Georgette Leland,\N,\N,nm0500903,nm0500903
Lea Leland,\N,\N,nm0500909,nm0500909
Melchior Lengyel,"1880","1974",nm0501872,nm0501872
Paul Leni,"1885","1929",nm0501902,nm0501902
Jane Lennox,\N,\N,nm0502090,nm0502090
Arthur Lenox,\N,\N,nm0502181,nm0502181
Frank Leonard,\N,\N,nm0502622,nm0502622
Jack Leonard,\N,"1921",nm0502650,nm0502650
Marie Leonard,"1886","1965",nm0502700,nm0502700
Marion Leonard,"1881","1956",nm0502701,nm0502701
Robert Z. Leonard,"1889","1968",nm0502752,nm0502752
Henry Leone,"1858","1922",nm0502889,nm0502889
Leonora,\N,\N,nm0503083,nm0503083
Vittoria Lepanto,"1885","1965",nm0503227,nm0503227
René Leprince,"1876","1929",nm0503415,nm0503415
Gaston Leroux,"1868","1927",nm0503693,nm0503693
Helen Leslie,"1894",\N,nm0504112,nm0504112
Lila Leslie,"1890","1940",nm0504144,nm0504144
Richard Leslie,\N,\N,nm0504171,nm0504171
George Lessey,"1875","1947",nm0504353,nm0504353
Madge Lessing,"1862","1935",nm0504373,nm0504373
Louise Lester,"1867","1952",nm0504490,nm0504490
Adolph Lestina,"1861","1923",nm0504551,nm0504551
Louis Leubas,"1869","1932",nm0504864,nm0504864
James Levering,"1861",\N,nm0505352,nm0505352
Joseph Levering,"1874","1943",nm0505354,nm0505354
Aleksandr Levitsky,"1885","1965",nm0506193,nm0506193
Sol Levy,"1881","1920",nm0506621,nm0506621
Edgar Lewis,"1869","1938",nm0507150,nm0507150
Frederick Lewis,"1860","1927",nm0507198,nm0507198
Grace Lewis,\N,\N,nm0507237,nm0507237
Henry Harrison Lewis,\N,\N,nm0507264,nm0507264
Jessie Lewis,"1890","1971",nm0507351,nm0507351
Mitchell Lewis,"1880","1956",nm0507568,nm0507568
Ralph Lewis,"1872","1937",nm0507635,nm0507635
Sheldon Lewis,"1869","1958",nm0507752,nm0507752
Vera Lewis,"1873","1956",nm0507849,nm0507849
Walter P. Lewis,"1866","1932",nm0507861,nm0507861
Pedro León,"1878","1931",nm0508268,nm0508268
André Liabel,\N,"1942",nm0508592,nm0508592
Zalmen Libin,\N,\N,nm0508870,nm0508870
Herman Lieb,"1873","1966",nm0509287,nm0509287
Richard Liebesny,\N,\N,nm0509449,nm0509449
Theodore A. Liebler Jr.,"1886","1975",nm0509478,nm0509478
Harry Liedtke,"1882","1945",nm0509573,nm0509573
Jean Liézer,\N,\N,nm0509806,nm0509806
Grover Ligon,"1885","1965",nm0509917,nm0509917
William Otis Lillibridge,"1878","1909",nm0510388,nm0510388
Gordon W. Lillie,"1860","1942",nm0510394,nm0510394
Helge Linck,"1878","1954",nm0511078,nm0511078
Schiøler Linck,"1878","1952",nm0511080,nm0511080
E.K. Lincoln,"1884","1958",nm0511100,nm0511100
Elmo Lincoln,"1889","1952",nm0511104,nm0511104
Joseph C. Lincoln,"1870","1944",nm0511122,nm0511122
W.J. Lincoln,"1870","1917",nm0511143,nm0511143
Alfred Lind,"1879","1959",nm0511155,nm0511155
Kai Lind,"1887","1962",nm0511223,nm0511223
Lissi Lind,"1892","1938",nm0511237,nm0511237
Paul Lindau,"1839","1919",nm0511317,nm0511317
Einar Linden,"1886","1954",nm0511598,nm0511598
Gustaf Linden,"1875","1936",nm0511602,nm0511602
Max Linder,"1883","1925",nm0511729,nm0511729
Aron Lindgren,"1886","1921",nm0511806,nm0511806
Kathleen Lindgren,\N,\N,nm0511836,nm0511836
Erik Lindholm,"1888","1929",nm0511903,nm0511903
Helen Lindroth,"1874","1956",nm0512164,nm0512164
Frederick Eugene Lindsey,\N,\N,nm0512354,nm0512354
Harry Lindsey,\N,\N,nm0512362,nm0512362
Viggo Lindstrøm,"1858","1926",nm0512539,nm0512539
Edward Lingard,"1866","1934",nm0512762,nm0512762
Thomas G. Lingham,"1874","1950",nm0512796,nm0512796
Harry Linson,"1839","1926",nm0513167,nm0513167
Otto Rippert,"1869","1940",nm0513617,nm0513617
Thomas Lipton,"1850","1931",nm0513874,nm0513874
Hudson Liston,"1841","1929",nm0514281,nm0514281
Ann Little,"1891","1984",nm0514517,nm0514517
Morgia Litton,\N,\N,nm0514804,nm0514804
Henry A. Livingston,\N,\N,nm0515248,nm0515248
Jack Livingston,"1885","1944",nm0515250,nm0515250
Titus Livius,"59","17",nm0515385,nm0515385
Erik Ljungberger,"1875","1965",nm0515572,nm0515572
Emil Ljungkvist,"1849","1913",nm0515589,nm0515589
Johan Ljungquist,\N,\N,nm0515593,nm0515593
Asunción Lledó,\N,\N,nm0515704,nm0515704
Concepción Llorente,\N,\N,nm0515860,nm0515860
María Llorente,\N,\N,nm0515873,nm0515873
Ethel Lloyd,"1886","1923",nm0515975,nm0515975
Frank Lloyd,"1886","1960",nm0515979,nm0515979
Harold Lloyd,"1893","1971",nm0516001,nm0516001
Rollo Lloyd,"1883","1938",nm0516121,nm0516121
William Lloyd,"1851","1928",nm0516166,nm0516166
Gerolamo Lo Savio,"1865","1931",nm0516263,nm0516263
Hans Lobert,"1881",\N,nm0516478,nm0516478
E.A. Locke,\N,\N,nm0516687,nm0516687
William J. Locke,"1863","1930",nm0516810,nm0516810
Harold Lockwood,"1887","1918",nm0516974,nm0516974
Charles Løwaas,"1872","1953",nm0517327,nm0517327
Cecilia Loftus,"1876","1943",nm0517480,nm0517480
Lillian Logan,\N,\N,nm0517613,nm0517613
Ella Lola,"1883",\N,nm0518132,nm0518132
Jack London,"1876","1916",nm0518711,nm0518711
Samuel H. London,\N,\N,nm0518777,nm0518777
Elizabeth Lonergan,"1880","1956",nm0518833,nm0518833
Lloyd Lonergan,"1870","1937",nm0518840,nm0518840
Philip Lonergan,"1887","1940",nm0518844,nm0518844
Henry Wadsworth Longfellow,"1807","1882",nm0519303,nm0519303
Stephanie Longfellow,"1882",\N,nm0519310,nm0519310
Raymond Longford,"1878","1959",nm0519315,nm0519315
Edward G. Longman,"1881","1969",nm0519375,nm0519375
Harry Lonsdale,"1862","1939",nm0519559,nm0519559
Charles Battell Loomis,"1861","1911",nm0519675,nm0519675
Madge Loomis,\N,\N,nm0519694,nm0519694
Jere F. Looney,"1884",\N,nm0519720,nm0519720
Theodor Loos,"1883","1954",nm0519765,nm0519765
André de Lorde,"1871","1933",nm0520524,nm0520524
Concha Lorente,\N,\N,nm0520634,nm0520634
Juan José Lorente,\N,\N,nm0520644,nm0520644
María Lorente,\N,\N,nm0520648,nm0520648
Bianca Lorenzoni,\N,\N,nm0520861,nm0520861
Elsa Lorimer,"1891","1967",nm0520957,nm0520957
Luke J. Loring,"1852","1914",nm0521009,nm0521009
Willard Louis,"1882","1926",nm0521919,nm0521919
Edward T. Lowe Jr.,"1890","1973",nm0522871,nm0522871
Grace Lowell,\N,\N,nm0523088,nm0523088
F.A. Lowery,\N,\N,nm0523207,nm0523207
William Lowery,"1885","1941",nm0523229,nm0523229
Emily Lowry,"1909","1959",nm0523316,nm0523316
Ernst Lubitsch,"1892","1947",nm0523932,nm0523932
Sam Lucas,"1848","1916",nm0524274,nm0524274
Wilfred Lucas,"1871","1940",nm0524306,nm0524306
Edith Luckett,"1888","1987",nm0524717,nm0524717
André Luguet,"1892","1979",nm0525283,nm0525283
Ellen Lumbye,"1886","1967",nm0525874,nm0525874
Knud Lumbye,"1875","1938",nm0525876,nm0525876
Mrs. Auguste Lumiere,"1874","1963",nm0525900,nm0525900
Antoine Lumière,"1840","1911",nm0525907,nm0525907
Auguste Lumière,"1862","1954",nm0525908,nm0525908
Louis Lumière,"1864","1948",nm0525910,nm0525910
Gunlaug Lund,\N,\N,nm0526167,nm0526167
Gustav Lund,\N,\N,nm0526168,nm0526168
Jutta Lund,"1875","1971",nm0526189,nm0526189
Jørgen Lund,"1873","1941",nm0526190,nm0526190
O.A.C. Lund,"1886","1963",nm0526226,nm0526226
Richard Lund,"1885","1960",nm0526234,nm0526234
Alfred Lundberg,"1852","1935",nm0526275,nm0526275
Victor Lundberg,"1859","1939",nm0526336,nm0526336
Birger Lundstedt,"1882","1916",nm0526606,nm0526606
Ignazio Lupi,"1867","1942",nm0526921,nm0526921
Armand Lurville,"1875","1955",nm0527127,nm0527127
Mark Lee Luther,"1872",\N,nm0527436,nm0527436
Max Lutze,\N,\N,nm0527617,nm0527617
Octave Luzon,\N,\N,nm0527801,nm0527801
Ragnhild Ovenberg Lyche,"1885","1963",nm0527944,nm0527944
Lottie Lyell,"1890","1925",nm0528022,nm0528022
Peter Lykke-Seest,"1868","1948",nm0528064,nm0528064
Warren E. Lyle,\N,\N,nm0528118,nm0528118
Laura Lyman,\N,\N,nm0528151,nm0528151
Emmy Lynn,"1889","1978",nm0528678,nm0528678
Gertrude McCoy,"1890","1967",nm0528931,nm0528931
Eddie Lyons,"1886","1926",nm0529047,nm0529047
H. Agar Lyons,"1871","1944",nm0529062,nm0529062
Lurline Lyons,"1881","1969",nm0529116,nm0529116
L. Rogers Lytton,"1867","1924",nm0529368,nm0529368
Margit Lánczy,"1897","1965",nm0529434,nm0529434
Robert Lévy,\N,\N,nm0529735,nm0529735
Julio López de Castilla,\N,\N,nm0529814,nm0529814
José López Silva,"1861","1925",nm0529953,nm0529953
John MacAndrews,"1864","1926",nm0531228,nm0531228
Charles R. Macauley,"1871","1934",nm0531342,nm0531342
L.C. MacBean,"1875","1929",nm0531372,nm0531372
Donald MacBride,"1889","1957",nm0531385,nm0531385
Marc McDermott,"1871","1929",nm0531584,nm0531584
Donald MacDonald,"1886","1972",nm0531691,nm0531691
J. Farrell MacDonald,"1875","1952",nm0531759,nm0531759
Normand McDonald,\N,\N,nm0531866,nm0531866
Sherwood MacDonald,"1880","1968",nm0531940,nm0531940
Thomas H. MacDonald,\N,\N,nm0531952,nm0531952
Wallace MacDonald,"1891","1978",nm0531962,nm0531962
Kenneth MacDougall,\N,\N,nm0532023,nm0532023
Fred Mace,"1878","1917",nm0532072,nm0532072
Harmon MacGregor,"1886","1948",nm0532324,nm0532324
Norval MacGregor,"1862","1933",nm0532349,nm0532349
Paul Machette,"1874","1927",nm0532599,nm0532599
Alfred Machin,"1877","1929",nm0532622,nm0532622
Augustin MacHugh,"1877","1928",nm0532697,nm0532697
Andrew Mack,"1863","1931",nm0532929,nm0532929
Edward Mack,"1869","1929",nm0532975,nm0532975
Hayward Mack,"1882","1921",nm0532996,nm0532996
Hughie Mack,"1884","1927",nm0533000,nm0533000
Max Mack,"1884","1973",nm0533048,nm0533048
Willard Mack,"1873","1934",nm0533102,nm0533102
Edward MacKay,"1874","1948",nm0533158,nm0533158
Donald MacKenzie,"1879","1972",nm0533289,nm0533289
Joe Mackey,\N,\N,nm0533465,nm0533465
John Mackin,"1876",\N,nm0533539,nm0533539
Laurie Mackin,\N,\N,nm0533540,nm0533540
Arthur Mackley,"1865","1926",nm0533615,nm0533615
Julia Mackley,"1878","1964",nm0533617,nm0533617
Douglas MacLean,"1890","1967",nm0533764,nm0533764
James Maclean,\N,\N,nm0533829,nm0533829
Elsie MacLeod,"1890",\N,nm0533887,nm0533887
Archer MacMackin,"1888","1961",nm0533954,nm0533954
Charles MacMahon,"1861","1917",nm0533958,nm0533958
A. MacMillan,\N,\N,nm0533987,nm0533987
Violet MacMillan,"1885","1953",nm0534030,nm0534030
Walter MacNamara,"1876","1957",nm0534073,nm0534073
Jeanie Macpherson,"1886","1946",nm0534221,nm0534221
Frank MacQuarrie,"1875","1950",nm0534254,nm0534254
Murdock MacQuarrie,"1878","1942",nm0534259,nm0534259
Henry MacRae,"1876","1944",nm0534288,nm0534288
Maud Hall Macy,"1881","1938",nm0534421,nm0534421
Señora Macías,\N,\N,nm0534457,nm0534457
Cleo Madison,"1883","1964",nm0534957,nm0534957
Paco Madrid,"1889","1957",nm0535118,nm0535118
Mads Anton Madsen,"1880","1968",nm0535230,nm0535230
Maurice Maeterlinck,"1862","1949",nm0535508,nm0535508
Gustavo de Maeztu,\N,\N,nm0535522,nm0535522
Barney Magee,\N,\N,nm0535827,nm0535827
Luigi Maggi,"1867","1946",nm0535957,nm0535957
Pierre Magnier,"1869","1959",nm0536252,nm0536252
Charles Magnusson,"1878","1948",nm0536368,nm0536368
Katerine G. Maher,\N,\N,nm0536856,nm0536856
John Mahoney,\N,\N,nm0537147,nm0537147
Léon Mathot,"1886","1968",nm0537222,nm0537222
Johnny Mahr,\N,\N,nm0537238,nm0537238
Charles Hill Mailes,"1870","1937",nm0537556,nm0537556
Harry Mainhall,"1886","1931",nm0537743,nm0537743
Edna Maison,"1892","1946",nm0537899,nm0537899
H. Maitland,\N,\N,nm0537950,nm0537950
George Majeroni,"1877","1924",nm0538081,nm0538081
Mario Majeroni,"1870","1931",nm0538082,nm0538082
Charles Major,"1856","1913",nm0538186,nm0538186
Daniel Makarenko,"1879","1957",nm0538380,nm0538380
Vladimir Maksimov,"1880","1937",nm0538779,nm0538779
Ellen Malberg,"1907","1983",nm0539045,nm0539045
Henrik Malberg,"1873","1958",nm0539047,nm0539047
Peter Malberg,"1887","1965",nm0539049,nm0539049
Eric Malmberg,"1888","1951",nm0540217,nm0540217
Leo D. Maloney,"1888","1929",nm0540575,nm0540575
Guillermo Mancha,\N,\N,nm0541366,nm0541366
William Mandeville,"1867","1917",nm0541794,nm0541794
Charles Manley,"1830","1916",nm0542567,nm0542567
Frankie Mann,"1892","1969",nm0542756,nm0542756
Nathaniel D. Mann,\N,\N,nm0542903,nm0542903
Virginia Mann,\N,\N,nm0543016,nm0543016
J. Hartley Manners,"1870","1928",nm0543122,nm0543122
Mildred Manning,"1890","1963",nm0543342,nm0543342
Robert B. Mantell,"1854","1928",nm0544071,nm0544071
Alfredo Manzi,\N,\N,nm0544480,nm0544480
Agnes Mapes,\N,\N,nm0544573,nm0544573
Mr. Marble,\N,\N,nm0545011,nm0545011
Bertram Marburgh,"1875","1956",nm0545031,nm0545031
Inez Ranous,\N,\N,nm0545147,nm0545147
Marchioness of Townshend,\N,\N,nm0545651,nm0545651
James A. Marcus,"1867","1937",nm0546121,nm0546121
Andrzej Marek,"1880","1943",nm0546378,nm0546378
Piero Marelli,\N,\N,nm0546429,nm0546429
Mlle. Marguerite,\N,\N,nm0546855,nm0546855
Jeanne Marie-Laurent,"1877","1964",nm0547329,nm0547329
Fania Marinoff,"1890","1971",nm0547866,nm0547866
Marc Mario,\N,\N,nm0547928,nm0547928
Frances Marion,"1888","1973",nm0547966,nm0547966
William Marion,"1878","1957",nm0548009,nm0548009
Ema Mariotti,\N,\N,nm0548023,nm0548023
José María Maristany,\N,\N,nm0548120,nm0548120
Enid Markey,"1894","1981",nm0548402,nm0548402
Kirah Markham,\N,\N,nm0548441,nm0548441
Willis Marks,"1865","1952",nm0548987,nm0548987
Publius Vergilius Maro,\N,\N,nm0549460,nm0549460
José Marques,\N,\N,nm0549760,nm0549760
Mary Marquet,"1895","1979",nm0549806,nm0549806
Eduardo Marquina,"1879","1946",nm0549891,nm0549891
Rafael Marquina,\N,\N,nm0549894,nm0549894
Hans Marr,"1878","1949",nm0549989,nm0549989
Charles Marriott,"1859","1917",nm0550178,nm0550178
Alberto Marro,"1878","1956",nm0550220,nm0550220
Gene Marsh,"1893","1957",nm0550555,nm0550555
Mae Marsh,"1894","1968",nm0550615,nm0550615
Marguerite Marsh,"1888","1925",nm0550619,nm0550619
Boyd Marshall,"1884","1950",nm0550780,nm0550780
Edward Marshall,"1869","1904",nm0550863,nm0550863
Tully Marshall,"1864","1943",nm0551222,nm0551222
Rosita Marstini,"1887","1948",nm0551347,nm0551347
Lawrence Marston,"1857","1939",nm0551361,nm0551361
Mrs. A.C. Marston,\N,\N,nm0551364,nm0551364
Mrs. Lawrence Marston,\N,\N,nm0551365,nm0551365
Theodore Marston,"1868","1920",nm0551375,nm0551375
William Moulton Marston,"1893","1947",nm0551376,nm0551376
Helen Marten,\N,\N,nm0551653,nm0551653
Jean-François Martial,"1891","1977",nm0551792,nm0551792
Charles Martin,\N,\N,nm0552056,nm0552056
Charles Martin,\N,\N,nm0552060,nm0552060
E.A. Martin,"1876","1926",nm0552228,nm0552228
James Martin,\N,\N,nm0552453,nm0552453
Mary Martin,\N,\N,nm0552758,nm0552758
Master Martin,\N,\N,nm0552765,nm0552765
Vivian Martin,"1893","1987",nm0553184,nm0553184
Mortimer Martine,"1866","1934",nm0553290,nm0553290
H.O. Martinek,"1876","1935",nm0553320,nm0553320
Ivy Martinek,"1880","1949",nm0553321,nm0553321
Juan Martí,\N,\N,nm0554499,nm0554499
Joaquín Martínez Palomo,\N,\N,nm0554896,nm0554896
Arthur Marvin,"1859","1911",nm0555522,nm0555522
Miguel Mas,\N,\N,nm0556015,nm0556015
Antonio Masia,\N,\N,nm0556371,nm0556371
Billy Mason,"1889","1941",nm0556607,nm0556607
Dan Mason,"1853","1929",nm0556658,nm0556658
Eleanor Mason,\N,\N,nm0556696,nm0556696
Frank Mason,\N,\N,nm0556709,nm0556709
Harry Mason,\N,\N,nm0556732,nm0556732
Marie Mason,\N,\N,nm0556838,nm0556838
Shirley Mason,"1900","1979",nm0556953,nm0556953
Léontine Massart,"1885","1980",nm0557182,nm0557182
Joe Massey,\N,\N,nm0557321,nm0557321
Masso,\N,\N,nm0557471,nm0557471
Tom Masson,"1866","1934",nm0557517,nm0557517
Augusto Mastripietri,"1846","1930",nm0557831,nm0557831
Emilia de la Mata,\N,\N,nm0557997,nm0557997
Godofredo Mateldi,\N,\N,nm0558236,nm0558236
Mitzi Mathe,\N,\N,nm0558410,nm0558410
Julienne Mathieu,\N,\N,nm0558863,nm0558863
Maurice Mathieu,"1906",\N,nm0558869,nm0558869
Ernst Matray,"1891","1978",nm0559305,nm0559305
Arthur Matthews,"1889","1918",nm0559932,nm0559932
Martha Mattox,"1879","1933",nm0560442,nm0560442
Kurt Matull,"1872","1930",nm0560543,nm0560543
Kalman Matus,"1891","1964",nm0560570,nm0560570
Arthur Maude,"1880","1950",nm0560785,nm0560785
Cyril Maude,"1862","1951",nm0560787,nm0560787
Ernest Maupain,"1869","1944",nm0560942,nm0560942
Guy de Maupassant,"1850","1893",nm0560943,nm0560943
Clément Maurice,"1853","1933",nm0561109,nm0561109
Mary Maurice,"1844","1918",nm0561126,nm0561126
Justus van Maurik,"1846","1904",nm0561164,nm0561164
Marion P. Maus,"1850","1930",nm0561309,nm0561309
Edward R. Mawson,"1862","1917",nm0561469,nm0561469
Édouard de Max,"1869","1924",nm0561489,nm0561489
Louella Maxam,"1896","1970",nm0561520,nm0561520
Eric Maxim,\N,\N,nm0561568,nm0561568
Hudson Maxim,"1853","1927",nm0561572,nm0561572
Max Maximilian,\N,"1930",nm0561587,nm0561587
Eric Maxon,"1882","1963",nm0561616,nm0561616
Max Maxudian,"1881","1976",nm0561637,nm0561637
Cécile May,\N,\N,nm0561905,nm0561905
Eva May,"1902","1924",nm0561945,nm0561945
Gordon V. May,\N,\N,nm0561960,nm0561960
Joe May,"1880","1954",nm0562004,nm0562004
Lola May,"1889","1971",nm0562039,nm0562039
Herschel Mayall,"1863","1941",nm0562197,nm0562197
Louis B. Mayer,"1884","1957",nm0562454,nm0562454
Eric Mayne,"1865","1947",nm0562805,nm0562805
Christine Mayo,"1883","1961",nm0562851,nm0562851
Edna Mayo,"1895","1970",nm0562860,nm0562860
Frank Mayo,"1886","1963",nm0562866,nm0562866
Margaret Mayo,"1882","1951",nm0562892,nm0562892
Melvin Mayo,"1878",\N,nm0562898,nm0562898
Manlio Mazza,\N,\N,nm0563460,nm0563460
Juan Mañe,\N,\N,nm0563758,nm0563758
Jessie McAllister,"1880","1955",nm0563984,nm0563984
Paul McAllister,"1875","1955",nm0563997,nm0563997
Harry McCabe,"1879","1925",nm0564447,nm0564447
Geraldine McCann,\N,\N,nm0564868,nm0564868
Roy L. McCardell,"1870","1961",nm0564946,nm0564946
John P. McCarthy,"1884","1962",nm0565187,nm0565187
Joseph P. McCarthy,\N,\N,nm0565192,nm0565192
Winsor McCay,"1871","1934",nm0565560,nm0565560
Lawrence McCloskey,"1886","1935",nm0565906,nm0565906
Mollie McConnell,"1865","1920",nm0566300,nm0566300
Bernard McConville,"1887","1961",nm0566338,nm0566338
Mrs. Lewis McCord,\N,"1917",nm0566387,nm0566387
Langdon McCormick,"1874","1954",nm0566559,nm0566559
Harry McCoy,"1889","1937",nm0566745,nm0566745
Minnie McCoy,\N,\N,nm0566789,nm0566789
Roy McCray,"1889","1943",nm0566933,nm0566933
Campbell McCullough,"1874","1941",nm0567174,nm0567174
Philo McCullough,"1893","1981",nm0567224,nm0567224
Bartley McCullum,\N,"1916",nm0567245,nm0567245
George Barr McCutcheon,"1866","1928",nm0567346,nm0567346
Wallace McCutcheon,"1861","1918",nm0567363,nm0567363
Joseph McDermott,"1878","1923",nm0567532,nm0567532
J. McDonagh,\N,\N,nm0567615,nm0567615
Francis McDonald,"1891","1968",nm0567756,nm0567756
Jack McDonald,"1880","1941",nm0567798,nm0567798
Claire McDowell,"1877","1966",nm0568282,nm0568282
John McDowell,"1878","1954",nm0568292,nm0568292
Elsa McEvoy,\N,\N,nm0568566,nm0568566
Tom McEvoy,"1869","1942",nm0568591,nm0568591
Garry McGarry,"1889","1927",nm0568944,nm0568944
Morris McGee,\N,\N,nm0569109,nm0569109
Lawrence B. McGill,"1867","1928",nm0569261,nm0569261
Frank McGlynn Sr.,"1866","1951",nm0569466,nm0569466
J.P. McGowan,"1880","1952",nm0569645,nm0569645
Harold McGrath,"1871","1932",nm0569805,nm0569805
Thomas McGrath,"1857","1937",nm0569886,nm0569886
Major J.A. McGuire,"1861","1931",nm0570252,nm0570252
Paddy McGuire,"1884","1923",nm0570274,nm0570274
Blanche MacIntosh,"1877","1954",nm0570633,nm0570633
John Thomas McIntyre,"1871","1951",nm0570770,nm0570770
Beatrice McKay,\N,\N,nm0570931,nm0570931
Fred McKay,\N,\N,nm0570970,nm0570970
Lafe McKee,"1872","1959",nm0571186,nm0571186
Raymond McKee,"1892","1984",nm0571205,nm0571205
Ella McKenzie,"1911","1987",nm0571514,nm0571514
Ida Mae McKenzie,"1911","1986",nm0571534,nm0571534
Robert McKenzie,"1880","1949",nm0571602,nm0571602
Edwin McKim,"1869","1942",nm0571760,nm0571760
Mr. McKinnon,\N,\N,nm0571960,nm0571960
Thomas MacLarnie,"1870","1931",nm0572251,nm0572251
Ed McLaughlin,\N,\N,nm0572310,nm0572310
C.M.S. McLellan,"1865","1916",nm0572698,nm0572698
Adele McLelland,\N,\N,nm0572722,nm0572722
Gertrude McLynn,\N,\N,nm0572964,nm0572964
John McMahon,\N,\N,nm0573033,nm0573033
George McManus,"1884","1954",nm0573137,nm0573137
Bruce McRae,"1867","1927",nm0574421,nm0574421
Duncan McRae,"1881","1931",nm0574431,nm0574431
